sentence_index,entity_raw,entity_normalised,category,sentence_text
0,Beer,Beer,Individual,"Yes, Mr. Beer."
2,Vennells,Vennells,Individual,"Good morning, Ms. Vennells."
3,Beer,Beer,Individual,"Good morning, Mr. Beer."
6,Deloitte,Deloitte,Organisation,"like first to look at the process by which Second Sight were chosen and Deloitte were
not to conduct an investigation."
9,Simon Baker,Simon Baker,Individual,"And if we look at the foot of the page, there's an email from Simon Baker."
11,Susan Crichton,Susan Crichton,Individual,To Susan Crichton and Lesley Sewell of the 6th of June 2012.
11,Lesley Sewell,Lesley Sewell,Individual,To Susan Crichton and Lesley Sewell of the 6th of June 2012.
12,Susan Leslie,Susan Leslie,Individual,"And he says, Susan Leslie attached is Ron's proposal."
12,Ron,Ron,Individual,"And he says, Susan Leslie attached is Ron's proposal."
13,Alice,Alice,Individual,"My view is that we make it clear to Alice and Paula, the distinction between the work
Ron is proposing, brackets, an independent review of past cases, and the Horizon Forensic
audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would
be the 7th of June."
13,Paula,Vennells,Individual,"My view is that we make it clear to Alice and Paula, the distinction between the work
Ron is proposing, brackets, an independent review of past cases, and the Horizon Forensic
audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would
be the 7th of June."
13,Ron,Ron,Individual,"My view is that we make it clear to Alice and Paula, the distinction between the work
Ron is proposing, brackets, an independent review of past cases, and the Horizon Forensic
audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would
be the 7th of June."
13,Deloitte,Deloitte,Organisation,"My view is that we make it clear to Alice and Paula, the distinction between the work
Ron is proposing, brackets, an independent review of past cases, and the Horizon Forensic
audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would
be the 7th of June."
16,Deloitte,Deloitte,Organisation,"I couldn't recall it at the time and
I think I say in my statement that the Deloitte work which was named Project Spire was not
something that I remembered but I can see that there were those two alternatives being
discussed."
16,Project Spire,Project Spire,Organisation,"I couldn't recall it at the time and
I think I say in my statement that the Deloitte work which was named Project Spire was not
something that I remembered but I can see that there were those two alternatives being
discussed."
17,Deloitte,Deloitte,Organisation,"Can you remember the distinction between them, i.e. what was proposed to be done by a second
side and what was to be done by Deloitte?"
21,the Horizon System,the Horizon System,Organisation,The Project SPIRE document is a forensic investigation of the Horizon System.
22,the Horizon System,the Horizon System,Organisation,"And by, sorry to interrupt, by a forensic investigation of the Horizon System, is that
captured by these words here, a forensic audit?"
24,the Horizon System,the Horizon System,Organisation,I would have said a detailed investigation of the Horizon System.
33,Alice Perkins,Alice Perkins,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on
the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwyn
lines in Simon Baker where the Deloitte and Second Sight proposals are discussed and Second Sight was chosen as the preferred supplier."
33,Susan Crichton,Susan Crichton,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on
the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwyn
lines in Simon Baker where the Deloitte and Second Sight proposals are discussed and Second Sight was chosen as the preferred supplier."
33,Alwyn,Alwen Lyons,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on
the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwyn
lines in Simon Baker where the Deloitte and Second Sight proposals are discussed and Second Sight was chosen as the preferred supplier."
33,Simon Baker,Simon Baker,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on
the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwyn
lines in Simon Baker where the Deloitte and Second Sight proposals are discussed and Second Sight was chosen as the preferred supplier."
33,Deloitte,Deloitte,Organisation,"And do you see in the box that's at the bottom of the screen there, it's recorded that on
the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwyn
lines in Simon Baker where the Deloitte and Second Sight proposals are discussed and Second Sight was chosen as the preferred supplier."
33,Second Sight,Second Sight,Organisation,"And do you see in the box that's at the bottom of the screen there, it's recorded that on
the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwyn
lines in Simon Baker where the Deloitte and Second Sight proposals are discussed and Second Sight was chosen as the preferred supplier."
34,Deloitte,Deloitte,Organisation,"Why was Second Sight proposal preferred to
that of Deloitte?"
35,Deloitte,Deloitte,Organisation,"I think because of what I just said earlier, from my own recollection is I felt very strongly
that we needed an organization who would be able to work well
with sub-postmasters, I was concerned that any one
of the big four, Deloitte being one of them,
may have come across two corporates
and wouldn't necessarily have had
the understanding of running a post office
in small retail businesses."
46,Horizon,Horizon,Technical System,"Rather than auditing the Horizon system as a whole?
the case in terms of my view today, I don't believe we went through that particular angle
of discussion in the meeting."
48,Horizon,Horizon,Technical System,"What would you say to the suggestion that a deliberate choice was made to pick
a proposal that was much narrower in scope, that only looked at a sample of past cases
rather than auditing the Horizon system as a whole?"
51,Deloitte,Deloitte,Organisation,"You agree, I think, cutting to the chase, that it would have been preferable, looking
back now, had Deloitte been chosen, because their proposal may or even would have brought
to the surface, if carried through to its conclusion, many of the issues that were subsequently
discovered."
54,Deloitte,Deloitte,Organisation,"Whether Deloitte would
in fact have surfaced some of the other important areas that Second Sight did, I don't know,
because I think one of the other outcomes of this has been the right decision was looking
at the contract, and that may not have surfaced through the Deloitte work, which was particularly
focused on the system itself."
54,Sight,Second Sight,Organisation,"Whether Deloitte would
in fact have surfaced some of the other important areas that Second Sight did, I don't know,
because I think one of the other outcomes of this has been the right decision was looking
at the contract, and that may not have surfaced through the Deloitte work, which was particularly
focused on the system itself."
