sentence_index,entity_raw,entity_normalised,category,sentence_text
0,Beer,Beer,Individual,"Mr Beer, can I explain that one of our assessors is joined in remotely this morning, and I understand that before we begin hearing evidence, you wish to raise the issue of disclosure."
1,Bates,Alan Bates,Individual,"Yes, it's a matter of importance that I wanted to update you and the core participants on before we call Mr Bates to give his oral evidence."
3,the Post Office,Post Office,Organisation,"The core participants were sent an email by the solicitor to the inquiry yesterday that contained relevant correspondence from the Post Office that dates between the 28th of March and the 5th of April, sent to the inquiry."
7,the Post Office's,Post Office,Organisation,"So you'll recall that the Post Office's late and problematic disclosure of documents has been a constant theme in this inquiry, resulting in you ordering that we hear oral evidence from the Post Office and its inquiry representatives in 2 disclosure-related hearings held in July and September last year."
8,Post Office's,Post Office,Organisation,"On the 12th of January this year, the inquiry held a further hearing on disclosure and called Post Office's recognised legal representative, Mr. Jackson of Burgess Salmon LLP, to give oral evidence."
8,Jackson,Jackson,Individual,"On the 12th of January this year, the inquiry held a further hearing on disclosure and called Post Office's recognised legal representative, Mr. Jackson of Burgess Salmon LLP, to give oral evidence."
9,the Post Office,Post Office,Organisation,You will recall that by and large the key issue that was discussed at that hearing was how the Post Office had discovered a further Post Office repository or data source known as Microsoft Exchange 365.
9,Microsoft Exchange,Microsoft Exchange,Technical System,You will recall that by and large the key issue that was discussed at that hearing was how the Post Office had discovered a further Post Office repository or data source known as Microsoft Exchange 365.
10,the Microsoft Exchange,Microsoft Exchange,Technical System,"You'll recall that the Microsoft Exchange 365 repository was brought to the inquiry's attention during the Phase 4 hearings, and as a result, the inquiry received numerous sometimes voluminous last-minute disclosure of documents said to relate to Phase 4 witnesses, on some occasions only days before some witnesses were due to give their evidence."
10,Phase 4,Phase 4,Organisation,"You'll recall that the Microsoft Exchange 365 repository was brought to the inquiry's attention during the Phase 4 hearings, and as a result, the inquiry received numerous sometimes voluminous last-minute disclosure of documents said to relate to Phase 4 witnesses, on some occasions only days before some witnesses were due to give their evidence."
11,Jackson,Jackson,Individual,"During the January hearing, Mr. Jackson, Jackson said that such last-minute disclosure by the Post Office during the Phase 4 hearings had been, quote, suboptimal."
11,Post Office,Post Office,Organisation,"During the January hearing, Mr. Jackson, Jackson said that such last-minute disclosure by the Post Office during the Phase 4 hearings had been, quote, suboptimal."
13,Jenkins,Gareth Jenkins,Individual,"In some instances, regrettably, a decision was made to postpone or reschedule a witness at short notice, including, you'll remember, Mr Jenkins and Mr Longman, both of whom the inquiry has now scheduled to hear during Phases 5 and 6."
13,Mr Longman,Mr Longman,Individual,"In some instances, regrettably, a decision was made to postpone or reschedule a witness at short notice, including, you'll remember, Mr Jenkins and Mr Longman, both of whom the inquiry has now scheduled to hear during Phases 5 and 6."
14,the Post Office's,Post Office,Organisation,"Whilst other matters were discussed at the hearing held on the night— on the 12th of January, the focus was on the Post Office's work related to the Microsoft Exchange repository."
14,the Microsoft Exchange,Microsoft Exchange,Technical System,"Whilst other matters were discussed at the hearing held on the night— on the 12th of January, the focus was on the Post Office's work related to the Microsoft Exchange repository."
16,the Post Office,Post Office,Organisation,"Those directions provided that firstly, a meeting would be held between the representatives of the inquiry and the Post Office to discuss disclosure issues as soon as reasonably practicable, and in any event well before the commencement of oral hearings in phases 5 and 6."
19,the Post Office,Post Office,Organisation,"On the 28th of February 2024, members of the inquiry team and information management team met with the Post Office and its representatives in this building as directed by you, and the inquiry later circulated a copy of the minutes of that meeting as agreed with the Post Office to core participants."
21,the Post Office,Post Office,Organisation,"At the outset of the meeting, leading counsel to the inquiry— that's me— noted that from the inquiry's perspective, the aim of the meeting was to ensure that the Post Office are doing as much as possible to ensure phases 5 and 6 can proceed in accordance with the inquiry timetable."
22,Jackson,Jackson,Individual,"Mr. Jackson confirmed that the Post Office agreed and noticed noted that the Post Office's starting point for the meeting was prioritising and clarifying what needed to be done in line with your directions, ensuring reasonable and proportionate disclosure whilst minimising and hopefully avoiding disruption to the hearing timetable and the inquiry's proceedings."
22,Post Office,Post Office,Organisation,"Mr. Jackson confirmed that the Post Office agreed and noticed noted that the Post Office's starting point for the meeting was prioritising and clarifying what needed to be done in line with your directions, ensuring reasonable and proportionate disclosure whilst minimising and hopefully avoiding disruption to the hearing timetable and the inquiry's proceedings."
24,the Post Office's,Post Office,Organisation,Given the Post Office's highly disruptive late disclosure in Phase 4.
