sentence_index,entity_raw,entity_normalised,category,sentence_text
3,Ron Warmington,Ron Warmington,Individual,"May I call Ron Warmington, please?"
10,Declare,Declare,Organisation,Declare and affirm.
11,Declare,Declare,Organisation,Declare and affirm.
13,Shall,Shall,Individual,"That the evidence I shall give.
Shall be the truth."
20,Warmington,Ron Warmington,Individual,Good afternoon Mr. Warmington.
21,Jason Beer,Beer,Individual,"My name is Jason Beer and I ask
questions on behalf of the inquiry."
23,Ronald John Warmington,Ronald John Warmington,Individual,Ronald John Warmington.
30,Beer,Beer,Individual,"That's right, Mr. Beer."
52,Institute,Institute,Organisation,"And in 1979, you became a fellow of the Institute, is that right?"
54,Ernst & Young,Ernst & Young,Organisation,"In terms of your work career,
you worked as an external auditor between 1968 and 1975
for a company that was subsequently acquired by Ernst & Young,
is that right?"
63,Ernst & Young,Ernst & Young,Organisation,"In any event, it was a company that was subsequently acquired by Ernst & Young."
65,Citibank,Citibank,Organisation,"Between 75 and 2002, you worked for Citibank, is that right?"
66,CFO,CFO,Organisation,"Yes.
previously as a regional head of internal audit, chairman of the audit and risk committee,
CFO, head of investigations for Europe, the Middle East and Africa, and then global head
of investigations."
68,GE Capital,GE Capital,Organisation,"Between 2000 and 2010, you were a director of GE Capital as head of fraud management
in Europe, the Middle East and Africa."
70,"Second Sight Support Services
Limited","Second Sight Support Services
Limited",Organisation,"In 2009 and 2010, you became part of and then a director of Second Sight Support Services
Limited."
74,Horizon,Horizon,Technical System,"To summarise, is this right, you were an independent forensic accountant contracted by the post
office to conduct an investigation into, broadly speaking, Horizon."
76,Horizon,Horizon,Technical System,"In the course of your work, you had access to senior people within the post office who
either themselves had access or could access information concerning issues with Horizon."
82,Susan Crichton,Susan Crichton,Individual,"Those promises were made by Susan Crichton, Paula Vennells and Alice Perkins."
82,Paula Vennells,Paula Vennells,Individual,"Those promises were made by Susan Crichton, Paula Vennells and Alice Perkins."
82,Alice Perkins,Alice Perkins,Individual,"Those promises were made by Susan Crichton, Paula Vennells and Alice Perkins."
88,Sight,Second Sight,Organisation,"And you eventually formed the view
that the post office considered that Second Sight was,
quote, entirely under its control
and could be ordered to do or could be disallowed from doing
whatever it, the post office, wanted?"
93,Horizon,Horizon,Technical System,"Of trying to remove oversight or investigation, which
may have led to adverse conclusions about Horizon
in particular."
