sentence_index,entity_raw,entity_normalised,category,sentence_text
11,Jenkins,Gareth Jenkins,Individual,"Good morning, Mr. Jenkins."
12,Jason Beer,Beer,Individual,My name is Jason Beer and I ask questions on behalf of the inquiry.
14,Gareth Idris Jenkins,Gareth Idris Jenkins,Individual,My name is Gareth Idris Jenkins.
16,Beer,Beer,Individual,"Mr. Beer, before you go any further, is it appropriate for me to, um, direct Mr. Jenkins about self-incrimination?"
16,Jenkins,Gareth Jenkins,Individual,"Mr. Beer, before you go any further, is it appropriate for me to, um, direct Mr. Jenkins about self-incrimination?"
18,Jenkins,Gareth Jenkins,Individual,"Mr. Jenkins, I'm sure you've been advised, but under our law, a witness at a public inquiry has the right to decline to answer a question put to him by any of the lawyers involved in the inquiry or by me if there is a risk that the answer to that question would incriminate you."
29,Jenkins,Gareth Jenkins,Individual,"Do you understand all that, Mr Jenkins?"
32,Beer,Beer,Individual,"Yes, Mr Beer."
34,Jenkins,Gareth Jenkins,Individual,"Mr Jenkins, you've made 5 witness statements to the inquiry."
77,Statement 4,Statement 4,Individual,"And then lastly, Statement 4, 29th of April, uh, 2024, 00460400, 83 pages long."
80,Statement 5,Statement 5,Organisation,"And with the corrections in Statement 5 brought into account, are the contents of that, your 4th witness statement, true to the best of your knowledge and belief?"
96,"university,","university,",Organisation,"I think you graduated in 1973 from university, Cambridge University, with a degree in mathematics."
96,Cambridge University,Cambridge University,Organisation,"I think you graduated in 1973 from university, Cambridge University, with a degree in mathematics."
98,International Computers Limited,International Computers Limited,Organisation,"And upon graduation, you immediately worked for International Computers Limited, ICL, is that right?"
98,ICL,ICL,Organisation,"And upon graduation, you immediately worked for International Computers Limited, ICL, is that right?"
100,ICL,ICL,Organisation,And ICL became Fujitsu Services Limited in 2002.
100,Fujitsu Services Limited,Fujitsu Services Limited,Organisation,And ICL became Fujitsu Services Limited in 2002.
108,ICL Fujitsu,ICL Fujitsu,Organisation,"Dealing briefly at the moment with the stages of your career at ICL Fujitsu, So far as concerns us, from about 1996 to about 2000, did you work in the agent team?"
110,Horizon,Horizon,Technical System,"You were one of a team of 20— or 10 to 20 architects working on the Horizon system, is that right?"
128,Project Impact,Project Impact,Organisation,"You tell us in your witness statement that from 2002 to 2008 you, quote, took on the role of defining the technical changes required by Project Impact and worked on the implementation of the Bureau de Change and the acceptance of credit cards."
128,the Bureau de Change,the Bureau de Change,Organisation,"You tell us in your witness statement that from 2002 to 2008 you, quote, took on the role of defining the technical changes required by Project Impact and worked on the implementation of the Bureau de Change and the acceptance of credit cards."
133,Bureau de Change,Bureau de Change,Organisation,Then I worked on Bureau de Change and credit card changes and then a few other minor things before I moved on to Horizon Online requirements capture.
133,Horizon Online,Horizon Online,Technical System,Then I worked on Bureau de Change and credit card changes and then a few other minor things before I moved on to Horizon Online requirements capture.
134,Horizon Online,Horizon Online,Technical System,Did you move on to Horizon Online from about 2008?
137,Horizon Online,Horizon Online,Technical System,And did you work on Horizon Online from 2008 to about 2015?
139,Post Office,Post Office,Organisation,"You tell us in your witness statement that you, quote, worked with Post Office analysts in defining the technical requirements for Horizon Online."
139,Horizon Online,Horizon Online,Technical System,"You tell us in your witness statement that you, quote, worked with Post Office analysts in defining the technical requirements for Horizon Online."
142,Post Office's,Post Office,Organisation,"And that you, quote, supported Post Office's requirements team in specifying use cases for the counter functionality."
145,Horizon Online,Horizon Online,Technical System,"The contractual definition of how Horizon Online was to work was that the counter should look— should operate in the same way as it did on legacy Horizon, and therefore it was decided that we needed to put in place something that actually defined exactly what that was, and the technique that was decided was that the Post Office would put together the use cases to define the various activities that went on in the Post Office, to define the steps that people went through for doing— from how do you sell a stamp to how do you balance at the end of the week or whatever."
145,Horizon,Horizon,Technical System,"The contractual definition of how Horizon Online was to work was that the counter should look— should operate in the same way as it did on legacy Horizon, and therefore it was decided that we needed to put in place something that actually defined exactly what that was, and the technique that was decided was that the Post Office would put together the use cases to define the various activities that went on in the Post Office, to define the steps that people went through for doing— from how do you sell a stamp to how do you balance at the end of the week or whatever."
145,the Post Office,Post Office,Organisation,"The contractual definition of how Horizon Online was to work was that the counter should look— should operate in the same way as it did on legacy Horizon, and therefore it was decided that we needed to put in place something that actually defined exactly what that was, and the technique that was decided was that the Post Office would put together the use cases to define the various activities that went on in the Post Office, to define the steps that people went through for doing— from how do you sell a stamp to how do you balance at the end of the week or whatever."
151,Fujitsu,Fujitsu,Organisation,"You tell us that during your time at Fujitsu, you were a group of anywhere between 20 and 100 software designers and developers who would provide fourth-line support for both legacy Horizon and Horizon Online."
151,Horizon,Horizon,Technical System,"You tell us that during your time at Fujitsu, you were a group of anywhere between 20 and 100 software designers and developers who would provide fourth-line support for both legacy Horizon and Horizon Online."
151,Horizon Online,Horizon Online,Technical System,"You tell us that during your time at Fujitsu, you were a group of anywhere between 20 and 100 software designers and developers who would provide fourth-line support for both legacy Horizon and Horizon Online."
158,ICL,ICL,Organisation,"In your first witness statement, you refer to ICL introducing what's called a distinguished engineer scheme, correct?"
162,ICL,ICL,Organisation,"You were one of about 100 other ICL employees who were described as distinguished engineer, is that right?"
164,ICL,ICL,Organisation,Is it right that that was an honorific title conferred upon you by ICL or Fujitsu?
164,Fujitsu,Fujitsu,Organisation,Is it right that that was an honorific title conferred upon you by ICL or Fujitsu?
181,Fujitsu,Fujitsu,Organisation,"You tell us in your first witness statement that from about 2015 until August 2012— so after— sorry, 2022, uh, you were on a retainer with Fujitsu as a consultant."
188,COVID,COVID,Individual,"Um, I don't think— although I was on the retainer until August 2022, I think the last time I actually did any paid consultancy was just before COVID lockdown in 2020."
192,Horizon,Horizon,Technical System,"at the time of the publication of the Horizon Issues judgment, which was December '19?"
194,Horizon,Horizon,Technical System,The last few things were actually talking to the lawyers about the consequences of the Horizon Issues judgment.
