sentence_index,entity_raw,entity_normalised,category,sentence_text
0,Beer,Beer,Individual,"Yes, Mr. Beer."
2,Vennells,Vennells,Individual,"Good morning, Ms. Vennells."
3,Beer,Beer,Individual,"Good morning, Mr. Beer."
8,Deloitte,Deloitte,Organisation,I'd like first to look at the process by which Second Sight were chosen and Deloitte were not to conduct an investigation.
10,Simon Baker,Simon Baker,Individual,"And if we look at the foot of the page, there's an email from Simon Baker— you're not on this chain— to Susan Crichton and Lesley Sewell of 6 June 2012."
10,Susan Crichton,Susan Crichton,Individual,"And if we look at the foot of the page, there's an email from Simon Baker— you're not on this chain— to Susan Crichton and Lesley Sewell of 6 June 2012."
10,Lesley Sewell,Lesley Sewell,Individual,"And if we look at the foot of the page, there's an email from Simon Baker— you're not on this chain— to Susan Crichton and Lesley Sewell of 6 June 2012."
11,Susan,Susan Crichton,Individual,"And he says, Susan, Lesley, attached is Ron's proposal."
11,Lesley,Lesley Sewell,Individual,"And he says, Susan, Lesley, attached is Ron's proposal."
11,Ron,Ron,Individual,"And he says, Susan, Lesley, attached is Ron's proposal."
12,Alice,Alice,Individual,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June."
12,Paula,Vennells,Individual,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June."
12,Ron,Ron,Individual,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June."
12,Deloitte,Deloitte,Organisation,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June."
15,Deloitte,Deloitte,Organisation,"I couldn't recall it at the time, and I think I say in my statement that The Deloitte work, which was named Project Spire, was not something that I remembered, but I can see that there were those 2 alternatives being discussed."
15,Project Spire,Project Spire,Organisation,"I couldn't recall it at the time, and I think I say in my statement that The Deloitte work, which was named Project Spire, was not something that I remembered, but I can see that there were those 2 alternatives being discussed."
16,Second Sight,Second Sight,Organisation,"Can you remember the distinction between them, i.e., what was proposed to be done by Second Sight and what was to be done by Deloitte?"
16,Deloitte,Deloitte,Organisation,"Can you remember the distinction between them, i.e., what was proposed to be done by Second Sight and what was to be done by Deloitte?"
20,Project Spy,Project Spy,Organisation,The Project Spy document is a forensic investigation of the Horizon system.
20,Horizon,Horizon,Technical System,The Project Spy document is a forensic investigation of the Horizon system.
21,Horizon,Horizon,Technical System,"Sorry to interrupt, by a forensic investigation of the Horizon system, is that captured by these words here, a forensic audit?"
23,Horizon,Horizon,Technical System,I would have said a detailed investigation of the Horizon system.
33,Alice Perkins,Alice Perkins,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?"
33,Susan Crichton,Susan Crichton,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?"
33,Alwen Lyons,Alwen Lyons,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?"
33,Simon Baker,Simon Baker,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?"
33,Deloitte,Deloitte,Organisation,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?"
35,Second Sight,Second Sight,Organisation,And Second Sight was chosen as the preferred supplier?
37,Deloitte,Deloitte,Organisation,Why was Second Sight proposal preferred to that of Deloitte?
39,Deloitte,Deloitte,Organisation,"I was concerned that any one of the Big Four, Deloitte being one of them, may have come across too corporate and wouldn't necessarily have had the understanding of running a post office for small retail businesses."
45,Project Spire,Project Spire,Organisation,"And the reason I feel sure about that recollection is that when, in preparing for today, I looked at what was called the Project Spire document, I was quite surprised about the detail in it, and one of my reflections now is that actually that would have been a very good piece of work to have done, because it may have brought more data to the fore than we knew."
49,Horizon,Horizon,Technical System,Rather than auditing the Horizon system as a whole?
53,Horizon,Horizon,Technical System,"What would you say to the suggestion that a deliberate choice was made to pick a proposal that was much narrower in scope, that only looked at a sample of past cases rather than auditing the Horizon system as a whole?"
56,Deloitte,Deloitte,Organisation,"You agree, I think, cutting to the chase, that it would have been preferable looking back now had Deloitte been chosen, because their proposal may or even would have brought to the surface, if carried through to its conclusion, many of the issues that were subsequently discovered?"
59,Deloitte,Deloitte,Organisation,"Whether Deloitte would in fact have surfaced some of the other important areas that Second Sight did, I don't know, because I think one of the other outcomes of this has been the right decision, was looking at the contract, and that may not have surfaced through the Deloitte work, which was particularly focused on the system itself."
59,Sight,Second Sight,Organisation,"Whether Deloitte would in fact have surfaced some of the other important areas that Second Sight did, I don't know, because I think one of the other outcomes of this has been the right decision, was looking at the contract, and that may not have surfaced through the Deloitte work, which was particularly focused on the system itself."
